,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,meadow lake,34.8,-106.54,82.0,56,20,6.2,US,1591121891
294,gillette,44.29,-105.5,71.6,46,1,9.17,US,1591122065
295,portland,45.52,-122.68,68.0,55,75,3.36,US,1591121788
296,barbastro,42.04,0.13,77.0,53,100,6.93,ES,1591122073
297,millau,44.08,2.92,77.0,44,23,8.05,FR,1591122074
298,sosva,59.18,61.86,45.05,80,63,1.43,RU,1591122074
299,zabol,32.25,67.25,71.76,18,0,4.56,AF,1591122074
300,dingle,11.0,122.67,77.97,75,100,3.22,PH,1591121570
301,general roca,-39.03,-67.58,53.6,66,100,13.82,AR,1591122075
302,haines junction,60.75,-137.51,47.21,57,100,6.06,CA,1591122075
303,balikpapan,-1.27,116.83,76.73,92,28,5.77,ID,1591121854
304,tabou,4.42,-7.35,81.07,82,84,8.1,CI,1591122075
305,bilma,18.69,12.92,97.77,9,0,5.06,NE,1591122076
306,san francisco,37.77,-122.42,78.01,73,20,6.93,US,1591121943
307,flinders,-34.58,150.86,55.0,64,0,8.99,AU,1591122076
308,ipanguacu,-5.5,-36.85,93.2,56,40,3.36,BR,1591122077
309,tafresh,34.69,50.01,72.45,29,31,2.86,IR,1591122077
310,santa ana,33.75,-117.87,77.0,60,75,3.36,US,1591121964
311,vilyuysk,63.76,121.62,51.21,46,20,1.97,RU,1591122077
312,ribeira brava,32.65,-17.07,69.8,77,40,16.11,PT,1591122078
313,nanortalik,60.14,-45.24,46.6,91,100,8.95,GL,1591122078
314,gravdal,68.12,13.5,46.4,81,75,10.29,NO,1591122078
315,buin,-33.73,-70.75,55.4,71,90,4.07,CL,1591122079
316,singkang,2.1,102.8,78.8,83,20,1.12,MY,1591122079
317,mocuba,-16.84,36.99,64.8,96,36,3.06,MZ,1591122079
318,naantali,60.47,22.02,61.0,51,32,8.05,FI,1591122079
319,flin flon,54.77,-101.86,59.0,54,75,8.05,CA,1591122080
